term,lang,count,files,examples
du,sv,95,Albert_Ghosts.eng.mtf;Amanda_CanSellSoda.eng.mtf;Amanda_ClubDotGig1.eng.mtf;Amanda_ClubDotGig2.eng.mtf;Amanda_PyjamasParty.eng.mtf;Amanda_TryFindLodge.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;Araki_GamblingTonight.eng.mtf;Araki_HackerTrial1.eng.mtf;Araki_YouAreMemberNow.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_ManHunt.eng.mtf;_OnThePhone.eng.mtf;_VisionaryDream.eng.mtf,"Vem är du? | Vem är du sa jag! | Förlåt, vad sa du?"
Jag,sv,61,Albert_Ghosts.eng.mtf;Amanda_Arrival.eng.mtf;Amanda_CanSellSoda.eng.mtf;Amanda_ClubDotGig2.eng.mtf;Amanda_PyjamasParty.eng.mtf;Amanda_TryFindLodge.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_Arrival.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;Araki_HackerTrial1.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_InExperimentHall.eng.mtf;_ManHunt.eng.mtf;_OnThePhone.eng.mtf;_SequenceBreakHeart.eng.mtf;_VisionaryDream.eng.mtf,Jag önskar att jag kunde ta in allt på samma gång | Jag vet inte jag... | Jag önskar att fler ville komma hit
Ja,sv,48,Albert_Ghosts.eng.mtf;Amanda_Arrival.eng.mtf;Amanda_CanSellSoda.eng.mtf;Amanda_ClubDotGig2.eng.mtf;Amanda_PyjamasParty.eng.mtf;Amanda_TryFindLodge.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;Araki_GamblingTonight.eng.mtf;Araki_HackerTrial1.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_OnThePhone.eng.mtf;_VisionaryDream.eng.mtf,"Ja... | Ja, faktiskt! | Ja jag kände det på mig"
har,sv,37,Amanda_AfterPyjamas.eng.mtf;Amanda_Arrival.eng.mtf;Amanda_ClubDotGig2.eng.mtf;Amanda_PyjamasParty.eng.mtf;Amanda_TryFindLodge.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;Araki_HackerTrial1.eng.mtf;AskAboutFloppyReader.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_ManHunt.eng.mtf;_OnThePhone.eng.mtf,"Du jag är riktigt stressad just nu, har inte riktigt lust att prata | Du jag är riktigt stressad just nu, har inte riktigt lust att prata | Jag gillar bättre när de har rejv här"
What,en,36,Albert_Ghosts.eng.mtf;Amanda_Arrival.eng.mtf;Amanda_CanSellSoda.eng.mtf;Amanda_ClubDotGig2.eng.mtf;Amanda_PyjamasParty.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_Arrival.eng.mtf;Araki_YouAreMemberNow.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_InExperimentHall.eng.mtf;_ManHunt.eng.mtf;_OnThePhone.eng.mtf,What is it? | What? | What are we looking at?
OK,en,35,Amanda_PyjamasParty.eng.mtf;Amanda_TryFindLodge.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;Araki_GamblingTonight.eng.mtf;Araki_YouAreMemberNow.eng.mtf;AskAboutFloppyReader.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_OnThePhone.eng.mtf,"OK... | OK, too bad | OK"
så,sv,35,Albert_Ghosts.eng.mtf;Amanda_Arrival.eng.mtf;Amanda_ClubDotGig2.eng.mtf;Amanda_PyjamasParty.eng.mtf;Amanda_TryFindLodge.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;Araki_GamblingTonight.eng.mtf;Araki_HackerTrial1.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_OnThePhone.eng.mtf,"Det var tur, det finns så dåligt med sittplatser | Och han skriker så mycket | Nej, vad är så dåligt med den?"
Det,sv,34,Albert_Ghosts.eng.mtf;Amanda_ClubDotGig2.eng.mtf;Amanda_PyjamasParty.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;Araki_YouAreMemberNow.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_OnThePhone.eng.mtf,"Det är vackert | Det var tur, det finns så dåligt med sittplatser | Det är bra"
have,en,32,Albert_Ghosts.eng.mtf;Amanda_AfterPyjamas.eng.mtf;Amanda_ClubDotGig2.eng.mtf;Amanda_PyjamasParty.eng.mtf;Amanda_TryFindLodge.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;Araki_GamblingTonight.eng.mtf;Araki_YouAreMemberNow.eng.mtf;AskAboutFloppyReader.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_ManHunt.eng.mtf;_OnThePhone.eng.mtf;_VisionaryDream.eng.mtf,"You have to do something about her computer | Sorry, don't have the energy to talk | I like it better when they have raves here"
Yes,en,30,Albert_Ghosts.eng.mtf;Amanda_Arrival.eng.mtf;Amanda_ClubDotGig2.eng.mtf;Amanda_TryFindLodge.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_GamblingTonight.eng.mtf;Araki_HackerTrial1.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_OnThePhone.eng.mtf;_VisionaryDream.eng.mtf,"Yes... | Yes, actually! | Yes, exactly"
