term,lang,count,files,examples
du,sv,347,Receptionist_CanSellSoda.eng.mtf;Roby_ClubDotGig1.eng.mtf;Roby_ClubDotMorning.eng.mtf;Roby_TheRedBag.eng.mtf;Roby_TryFindLodge.eng.mtf;Roby_VoluntaryTeachers.eng.mtf;SebastianGetsToKnowBernd.eng.mtf;SebastianTalksWithBerndAboutBirds.eng.mtf;Sebastian_Backdrunk.eng.mtf;Sebastian_CrazyParty.eng.mtf;SecretTalkAtTopFloor.eng.mtf;ShitUrbanSays.eng.mtf;Siri2.eng.mtf;Siri3.eng.mtf;Siri4.eng.mtf;Siri5.eng.mtf;Siri6.eng.mtf;Siri_Arrival.eng.mtf;Siri_GoingHome.eng.mtf;Skurk_Arrival.eng.mtf;Skurk_SodaStorageBreakIn.eng.mtf;Svante_Arrival.eng.mtf;TalkAboutClubDotGig1.eng.mtf;TeachLoops.eng.mtf;TestTase.eng.mtf;TouristOfficeGal_AfterStalking.eng.mtf;TouristOfficeGal_Arrival.eng.mtf;TouristOfficeGal_CanSellSoda.eng.mtf;TouristOfficeGal_FoundHotel.eng.mtf;TouristOfficeGal_WellspringContact.eng.mtf;TranslationTest.eng.mtf;Typer1_FirstDay.eng.mtf;Typer1_TryFindLodge.eng.mtf;Typer2_StrangeExplosion.eng.mtf;Typer5_TheRedBag.eng.mtf;Urban_Arrival.eng.mtf;Urban_CanSellSoda.eng.mtf;Urban_ClubDotGig1.eng.mtf;Urban_TryFindLodge.eng.mtf;Wallenstam_AfterGhostVisit.eng.mtf;Wallenstam_Arrival.eng.mtf;WellspringRepresentant_MoreInstructions.eng.mtf;WellspringRepresentant_ShowingTheStorage.eng.mtf;WellspringRepresentant_TryFindLodge.eng.mtf;WellspringRepresentant_WellspringContact.eng.mtf;Work_Arrival.eng.mtf;Yulian_AfterStalking.eng.mtf;Yulian_Arrival.eng.mtf;Yulian_CanSellSoda.eng.mtf;Yulian_Downtime.eng.mtf;Yulian_FirstDay.eng.mtf;Yulian_Ghosts.eng.mtf;Yulian_HackerTrial1.eng.mtf;Yulian_HackerTrial2.eng.mtf;Yulian_InvestigateMayor.eng.mtf;Yulian_YouAreMemberNow.eng.mtf;Zarah_Ghosts.eng.mtf,"Jag säljer läsk och undrar om du vill köpa en burk? | Jag kommer från Wellspring Soda, är du sugen på en svalkande läsk? | Wellspring säger du ja?"
Jag,sv,278,Receptionist_Arrival.eng.mtf;Receptionist_CanSellSoda.eng.mtf;Receptionist_Ghosts.eng.mtf;Receptionist_LookForModifier.eng.mtf;Receptionist_StrangeExplosion.eng.mtf;Roby_ClubDotGig1.eng.mtf;Roby_ClubDotMorning.eng.mtf;Roby_TheRedBag.eng.mtf;Roby_TryFindLodge.eng.mtf;Roby_VoluntaryTeachers.eng.mtf;SebastianGetsToKnowBernd.eng.mtf;SebastianInspectsTrashCans.eng.mtf;SebastianStartsComputers.eng.mtf;SebastianTalksWithBerndAboutBirds.eng.mtf;Sebastian_Backdrunk.eng.mtf;Sebastian_CheckedIn.eng.mtf;Sebastian_CrazyParty.eng.mtf;SecretTalkAtTopFloor.eng.mtf;SellSodaToBob.eng.mtf;ShitUrbanSays.eng.mtf;Siri2.eng.mtf;Siri3.eng.mtf;Siri4.eng.mtf;Siri5.eng.mtf;Siri6.eng.mtf;Siri_Arrival.eng.mtf;Siri_GoingHome.eng.mtf;Skurk_Arrival.eng.mtf;TalkAboutClubDotGig1.eng.mtf;TeachLoops.eng.mtf;TestTalkToPersonWithNoFreePoints.eng.mtf;TouristOfficeGal_AfterStalking.eng.mtf;TouristOfficeGal_Arrival.eng.mtf;TouristOfficeGal_CanSellSoda.eng.mtf;TouristOfficeGal_WellspringContact.eng.mtf;TranslationTest.eng.mtf;Typer1_Arrival.eng.mtf;Typer1_FirstDay.eng.mtf;Typer2_Arrival.eng.mtf;Typer2_HackerTrial1.eng.mtf;Typer2_StrangeExplosion.eng.mtf;Typer3_Arrival.eng.mtf;Typer4_Arrival.eng.mtf;Typer4_CasinoNightIsOver.eng.mtf;Typer5_TheRedBag.eng.mtf;Urban_Arrival.eng.mtf;Urban_CanSellSoda.eng.mtf;Urban_TryFindLodge.eng.mtf;WalkHerHomeFromCasino.eng.mtf;Wallenstam_AfterGhostVisit.eng.mtf;Wallenstam_Arrival.eng.mtf;WellspringRepresentant_MoreInstructions.eng.mtf;WellspringRepresentant_ShowingTheStorage.eng.mtf;WellspringRepresentant_TryFindLodge.eng.mtf;WellspringRepresentant_WellspringContact.eng.mtf;Work_Arrival.eng.mtf;Yulian_AfterStalking.eng.mtf;Yulian_CanSellSoda.eng.mtf;Yulian_Downtime.eng.mtf;Yulian_FirstDay.eng.mtf;Yulian_Ghosts.eng.mtf;Yulian_HackerTrial1.eng.mtf;Yulian_InvestigateMayor.eng.mtf;Yulian_YouAreMemberNow.eng.mtf;Zarah_Ghosts.eng.mtf,Jag har lite bråttom | Jag söker dig! | Jag säljer läsk och undrar om du vill köpa en burk?
OK,en,203,Receptionist_Ghosts.eng.mtf;Receptionist_LookForModifier.eng.mtf;Receptionist_StrangeExplosion.eng.mtf;Roby_ClubDotGig1.eng.mtf;Roby_ClubDotMorning.eng.mtf;Roby_TheRedBag.eng.mtf;Roby_TryFindLodge.eng.mtf;Roby_VoluntaryTeachers.eng.mtf;SebastianGetsToKnowBernd.eng.mtf;SebastianTalksWithBerndAboutBirds.eng.mtf;Sebastian_Backdrunk.eng.mtf;Sebastian_CrazyParty.eng.mtf;SellSodaToBob.eng.mtf;Siri2.eng.mtf;Siri4.eng.mtf;Siri5.eng.mtf;Siri6.eng.mtf;Siri_Arrival.eng.mtf;Skurk_Arrival.eng.mtf;TalkAboutClubDotGig1.eng.mtf;TeachLoops.eng.mtf;TouristOfficeGal_AfterStalking.eng.mtf;TouristOfficeGal_Arrival.eng.mtf;TouristOfficeGal_CanSellSoda.eng.mtf;TouristOfficeGal_WellspringContact.eng.mtf;Typer1_FirstDay.eng.mtf;Typer1_TryFindLodge.eng.mtf;Typer2_StrangeExplosion.eng.mtf;Typer3_Arrival.eng.mtf;Typer5_TheRedBag.eng.mtf;Urban_Arrival.eng.mtf;Urban_CanSellSoda.eng.mtf;Urban_ClubDotGig1.eng.mtf;Urban_TryFindLodge.eng.mtf;WalkHerHomeFromCasino.eng.mtf;Wallenstam_AfterGhostVisit.eng.mtf;Wallenstam_Arrival.eng.mtf;WellspringRepresentant_MoreInstructions.eng.mtf;WellspringRepresentant_ShowingTheStorage.eng.mtf;WellspringRepresentant_TryFindLodge.eng.mtf;WellspringRepresentant_WellspringContact.eng.mtf;Yulian_AfterStalking.eng.mtf;Yulian_Arrival.eng.mtf;Yulian_CanSellSoda.eng.mtf;Yulian_DidYouStealTheFiles.eng.mtf;Yulian_Downtime.eng.mtf;Yulian_FirstDay.eng.mtf;Yulian_Ghosts.eng.mtf;Yulian_HackerTrial2.eng.mtf;Yulian_InvestigateMayor.eng.mtf;Yulian_YouAreMemberNow.eng.mtf,OK | OK | OK
Ja,sv,156,Receptionist_CanSellSoda.eng.mtf;Receptionist_HelmetDay.eng.mtf;Receptionist_LookForModifier.eng.mtf;Receptionist_StrangeExplosion.eng.mtf;Roby_ClubDotGig1.eng.mtf;Roby_ClubDotMorning.eng.mtf;Roby_TheRedBag.eng.mtf;Roby_TryFindLodge.eng.mtf;Roby_VoluntaryTeachers.eng.mtf;SebastianGetsToKnowBernd.eng.mtf;SebastianInspectsFuseboxes.eng.mtf;SebastianTalksWithBerndAboutBirds.eng.mtf;Sebastian_Backdrunk.eng.mtf;Sebastian_CrazyParty.eng.mtf;SecretTalkAtTopFloor.eng.mtf;ShitUrbanSays.eng.mtf;Siri2.eng.mtf;Siri3.eng.mtf;Siri4.eng.mtf;Siri_GoingHome.eng.mtf;Skurk_Arrival.eng.mtf;TalkAboutClubDotGig1.eng.mtf;TeachLoops.eng.mtf;TouristOfficeGal_AfterStalking.eng.mtf;TouristOfficeGal_Arrival.eng.mtf;TouristOfficeGal_CanSellSoda.eng.mtf;TouristOfficeGal_WellspringContact.eng.mtf;Typer1_FirstDay.eng.mtf;Typer2_StrangeExplosion.eng.mtf;Urban_Arrival.eng.mtf;Urban_CanSellSoda.eng.mtf;Urban_ClubDotGig1.eng.mtf;Urban_TryFindLodge.eng.mtf;WalkHerHomeFromCasino.eng.mtf;Wallenstam_AfterGhostVisit.eng.mtf;Wallenstam_Arrival.eng.mtf;WellspringRepresentant_MoreInstructions.eng.mtf;WellspringRepresentant_ShowingTheStorage.eng.mtf;WellspringRepresentant_TryFindLodge.eng.mtf;WellspringRepresentant_WellspringContact.eng.mtf;Yulian_AfterStalking.eng.mtf;Yulian_Arrival.eng.mtf;Yulian_CanSellSoda.eng.mtf;Yulian_DidYouStealTheFiles.eng.mtf;Yulian_Downtime.eng.mtf;Yulian_FirstDay.eng.mtf;Yulian_Ghosts.eng.mtf;Yulian_HackerTrial1.eng.mtf;Yulian_HackerTrial2.eng.mtf;Yulian_InvestigateMayor.eng.mtf;Yulian_YouAreMemberNow.eng.mtf,Ja? | Ja? | Ja
har,sv,151,Receptionist_Arrival.eng.mtf;Receptionist_CanSellSoda.eng.mtf;Receptionist_Ghosts.eng.mtf;Receptionist_LookForModifier.eng.mtf;Receptionist_StrangeExplosion.eng.mtf;Roby_ClubDotGig1.eng.mtf;Roby_TryFindLodge.eng.mtf;Roby_VoluntaryTeachers.eng.mtf;SebastianGetsToKnowBernd.eng.mtf;SebastianInspectsFuseboxes.eng.mtf;Sebastian_CrazyParty.eng.mtf;SecretTalkAtTopFloor.eng.mtf;SellSodaToBob.eng.mtf;Siri3.eng.mtf;Siri5.eng.mtf;Siri6.eng.mtf;Siri_GoingHome.eng.mtf;TalkAboutClubDotGig1.eng.mtf;TeachLoops.eng.mtf;TestInterrupt2.eng.mtf;TouristOfficeGal_AfterStalking.eng.mtf;TouristOfficeGal_Arrival.eng.mtf;TouristOfficeGal_CanSellSoda.eng.mtf;TouristOfficeGal_WellspringContact.eng.mtf;Typer1_Arrival.eng.mtf;Typer1_GamblingTonight.eng.mtf;Typer4_CasinoNightIsOver.eng.mtf;Typer4_Razzia.eng.mtf;Typer5.eng.mtf;Typer5_TheRedBag.eng.mtf;Urban_Arrival.eng.mtf;Wallenstam_AfterGhostVisit.eng.mtf;Wallenstam_Arrival.eng.mtf;WellspringRepresentant_MoreInstructions.eng.mtf;WellspringRepresentant_ShowingTheStorage.eng.mtf;WellspringRepresentant_TryFindLodge.eng.mtf;WellspringRepresentant_WellspringContact.eng.mtf;Yulian_AfterStalking.eng.mtf;Yulian_CanSellSoda.eng.mtf;Yulian_Downtime.eng.mtf;Yulian_FirstDay.eng.mtf;Yulian_Ghosts.eng.mtf;Yulian_HackerTrial1.eng.mtf;Yulian_HackerTrial2.eng.mtf;Yulian_InvestigateMayor.eng.mtf;Yulian_YouAreMemberNow.eng.mtf;Zarah_Ghosts.eng.mtf,Jag har lite bråttom | Vi har ett förbud mot försäljare här i våra lokaler | Vi har många chefer
OK,sv,144,Receptionist_Ghosts.eng.mtf;Receptionist_LookForModifier.eng.mtf;Receptionist_StrangeExplosion.eng.mtf;Roby_ClubDotGig1.eng.mtf;Roby_ClubDotMorning.eng.mtf;Roby_TheRedBag.eng.mtf;Roby_TryFindLodge.eng.mtf;Roby_VoluntaryTeachers.eng.mtf;Sebastian_Backdrunk.eng.mtf;Sebastian_CrazyParty.eng.mtf;SellSodaToBob.eng.mtf;Siri2.eng.mtf;Siri5.eng.mtf;Siri6.eng.mtf;Siri_Arrival.eng.mtf;Skurk_Arrival.eng.mtf;TeachLoops.eng.mtf;TouristOfficeGal_AfterStalking.eng.mtf;TouristOfficeGal_Arrival.eng.mtf;TouristOfficeGal_CanSellSoda.eng.mtf;TouristOfficeGal_WellspringContact.eng.mtf;Typer1_FirstDay.eng.mtf;Typer1_TryFindLodge.eng.mtf;Typer2_StrangeExplosion.eng.mtf;Typer3_Arrival.eng.mtf;Typer5_TheRedBag.eng.mtf;Urban_Arrival.eng.mtf;Urban_ClubDotGig1.eng.mtf;Urban_TryFindLodge.eng.mtf;Wallenstam_AfterGhostVisit.eng.mtf;Wallenstam_Arrival.eng.mtf;WellspringRepresentant_MoreInstructions.eng.mtf;WellspringRepresentant_ShowingTheStorage.eng.mtf;WellspringRepresentant_TryFindLodge.eng.mtf;WellspringRepresentant_WellspringContact.eng.mtf;Yulian_AfterStalking.eng.mtf;Yulian_Arrival.eng.mtf;Yulian_CanSellSoda.eng.mtf;Yulian_DidYouStealTheFiles.eng.mtf;Yulian_Downtime.eng.mtf;Yulian_FirstDay.eng.mtf;Yulian_Ghosts.eng.mtf;Yulian_HackerTrial2.eng.mtf;Yulian_InvestigateMayor.eng.mtf;Yulian_YouAreMemberNow.eng.mtf,OK | OK | OK
have,en,138,Receptionist_CanSellSoda.eng.mtf;Receptionist_Ghosts.eng.mtf;Receptionist_LookForModifier.eng.mtf;Receptionist_StrangeExplosion.eng.mtf;Roby_ClubDotGig1.eng.mtf;Roby_ClubDotMorning.eng.mtf;Roby_TheRedBag.eng.mtf;Roby_TryFindLodge.eng.mtf;Roby_VoluntaryTeachers.eng.mtf;SebastianInspectsTrashCans.eng.mtf;Sebastian_Backdrunk.eng.mtf;Sebastian_CheckedIn.eng.mtf;Sebastian_CrazyParty.eng.mtf;SecretTalkAtTopFloor.eng.mtf;SellSodaToBob.eng.mtf;Siri2.eng.mtf;Siri3.eng.mtf;Siri6.eng.mtf;Siri_GoingHome.eng.mtf;TeachLoops.eng.mtf;TouristOfficeGal_AfterStalking.eng.mtf;TouristOfficeGal_Arrival.eng.mtf;TouristOfficeGal_CanSellSoda.eng.mtf;TouristOfficeGal_WellspringContact.eng.mtf;Trailer.eng.mtf;Typer1_Arrival.eng.mtf;Typer1_GamblingTonight.eng.mtf;Typer3_Arrival.eng.mtf;Typer4_CasinoNightIsOver.eng.mtf;Typer4_Razzia.eng.mtf;Typer5.eng.mtf;Typer5_TheRedBag.eng.mtf;Urban_Arrival.eng.mtf;Urban_TryFindLodge.eng.mtf;Wallenstam_AfterGhostVisit.eng.mtf;Wallenstam_Arrival.eng.mtf;WellspringRepresentant_MoreInstructions.eng.mtf;WellspringRepresentant_ShowingTheStorage.eng.mtf;WellspringRepresentant_TryFindLodge.eng.mtf;WellspringRepresentant_WellspringContact.eng.mtf;Work_Arrival.eng.mtf;Yulian_AfterStalking.eng.mtf;Yulian_CanSellSoda.eng.mtf;Yulian_Downtime.eng.mtf;Yulian_FirstDay.eng.mtf;Yulian_Ghosts.eng.mtf;Yulian_InvestigateMayor.eng.mtf;Yulian_YouAreMemberNow.eng.mtf;Zarah_Ghosts.eng.mtf,I have to ask you to leave the building immediately | We have a lot of bosses | She doesn't have time for any meetings
Det,sv,132,Receptionist_Arrival.eng.mtf;Receptionist_Ghosts.eng.mtf;Receptionist_LookForModifier.eng.mtf;Receptionist_StrangeExplosion.eng.mtf;Roby_ClubDotGig1.eng.mtf;Roby_ClubDotMorning.eng.mtf;Roby_TheRedBag.eng.mtf;Roby_TryFindLodge.eng.mtf;Roby_VoluntaryTeachers.eng.mtf;SebastianGetsToKnowBernd.eng.mtf;SebastianTalksWithBerndAboutBirds.eng.mtf;Sebastian_Backdrunk.eng.mtf;Sebastian_CrazyParty.eng.mtf;SellSodaToBob.eng.mtf;Siri4.eng.mtf;Siri_Arrival.eng.mtf;Skurk_Arrival.eng.mtf;TalkAboutClubDotGig1.eng.mtf;TeachLoops.eng.mtf;TouristOfficeGal_AfterStalking.eng.mtf;TouristOfficeGal_Arrival.eng.mtf;TouristOfficeGal_CanSellSoda.eng.mtf;TouristOfficeGal_WellspringContact.eng.mtf;Typer2_StrangeExplosion.eng.mtf;Typer3_Arrival.eng.mtf;Typer4_CasinoNightIsOver.eng.mtf;Typer5_TheRedBag.eng.mtf;Urban_Arrival.eng.mtf;Urban_CanSellSoda.eng.mtf;Urban_TryFindLodge.eng.mtf;WalkHerHomeFromCasino.eng.mtf;Wallenstam_Arrival.eng.mtf;WellspringRepresentant_MoreInstructions.eng.mtf;WellspringRepresentant_ShowingTheStorage.eng.mtf;WellspringRepresentant_TryFindLodge.eng.mtf;WellspringRepresentant_WellspringContact.eng.mtf;Yulian_AfterStalking.eng.mtf;Yulian_Arrival.eng.mtf;Yulian_CanSellSoda.eng.mtf;Yulian_Downtime.eng.mtf;Yulian_FirstDay.eng.mtf;Yulian_Ghosts.eng.mtf;Yulian_HackerTrial1.eng.mtf;Yulian_HackerTrial2.eng.mtf;Yulian_InvestigateMayor.eng.mtf;Yulian_YouAreMemberNow.eng.mtf;Zarah_Ghosts.eng.mtf,Det är nog bäst att ni lämnar här snarast | Det är nog bäst att ni lämnar här snarast | Det kan jag inte säga
så,sv,125,Receptionist_Ghosts.eng.mtf;Receptionist_LookForModifier.eng.mtf;Roby_ClubDotGig1.eng.mtf;Roby_ClubDotMorning.eng.mtf;Roby_TryFindLodge.eng.mtf;Roby_VoluntaryTeachers.eng.mtf;SebastianGetsToKnowBernd.eng.mtf;SebastianTalksWithBerndAboutBirds.eng.mtf;Sebastian_Backdrunk.eng.mtf;Sebastian_CrazyParty.eng.mtf;SecretTalkAtTopFloor.eng.mtf;SellSodaToBob.eng.mtf;Siri2.eng.mtf;Siri4.eng.mtf;Siri5.eng.mtf;Siri_Arrival.eng.mtf;TeachLoops.eng.mtf;TouristOfficeGal_AfterStalking.eng.mtf;TouristOfficeGal_Arrival.eng.mtf;TouristOfficeGal_CanSellSoda.eng.mtf;TouristOfficeGal_WellspringContact.eng.mtf;TranslationTest.eng.mtf;Typer3_Arrival.eng.mtf;Typer4_CasinoNightIsOver.eng.mtf;Urban_Arrival.eng.mtf;Urban_CanSellSoda.eng.mtf;Urban_TryFindLodge.eng.mtf;Wallenstam_AfterGhostVisit.eng.mtf;Wallenstam_Arrival.eng.mtf;WellspringRepresentant_MoreInstructions.eng.mtf;WellspringRepresentant_ShowingTheStorage.eng.mtf;WellspringRepresentant_TryFindLodge.eng.mtf;WellspringRepresentant_WellspringContact.eng.mtf;Yulian_AfterStalking.eng.mtf;Yulian_Arrival.eng.mtf;Yulian_CanSellSoda.eng.mtf;Yulian_DidYouStealTheFiles.eng.mtf;Yulian_Downtime.eng.mtf;Yulian_FirstDay.eng.mtf;Yulian_HackerTrial1.eng.mtf;Yulian_HackerTrial2.eng.mtf;Yulian_InvestigateMayor.eng.mtf;Yulian_YouAreMemberNow.eng.mtf;Zarah_Ghosts.eng.mtf,"Och så har vi Dr. Monad, såklart | Det är nog bäst att ni går i så fall | OK, så när du väl är inne i studion så måste du leta upp en röd väska"
I'm,en,124,Receptionist_Arrival.eng.mtf;Receptionist_CanSellSoda.eng.mtf;Receptionist_Ghosts.eng.mtf;Receptionist_LookForModifier.eng.mtf;Roby_ClubDotGig1.eng.mtf;Roby_ClubDotMorning.eng.mtf;Roby_TryFindLodge.eng.mtf;Roby_VoluntaryTeachers.eng.mtf;SebastianTalksWithBerndAboutBirds.eng.mtf;Sebastian_CheckedIn.eng.mtf;Sebastian_ClubDotGig1.eng.mtf;Sebastian_CrazyParty.eng.mtf;SecretTalkAtTopFloor.eng.mtf;SendMessages.eng.mtf;ShitUrbanSays.eng.mtf;Siri2.eng.mtf;Siri4.eng.mtf;Siri6.eng.mtf;Siri_GoingHome.eng.mtf;TeachLoops.eng.mtf;TouristOfficeGal_AfterStalking.eng.mtf;TouristOfficeGal_Arrival.eng.mtf;TouristOfficeGal_CanSellSoda.eng.mtf;TouristOfficeGal_FoundHotel.eng.mtf;TouristOfficeGal_WellspringContact.eng.mtf;Trailer.eng.mtf;Typer2_StrangeExplosion.eng.mtf;Typer3_Arrival.eng.mtf;Typer4_Arrival.eng.mtf;Typer4_CasinoNightIsOver.eng.mtf;Typer5_TheRedBag.eng.mtf;Urban_Arrival.eng.mtf;Urban_CanSellSoda.eng.mtf;Wallenstam_AfterGhostVisit.eng.mtf;WellspringRepresentant_MoreInstructions.eng.mtf;WellspringRepresentant_ShowingTheStorage.eng.mtf;WellspringRepresentant_TryFindLodge.eng.mtf;WellspringRepresentant_WellspringContact.eng.mtf;Yulian_AfterStalking.eng.mtf;Yulian_CanSellSoda.eng.mtf;Yulian_DidYouStealTheFiles.eng.mtf;Yulian_Downtime.eng.mtf;Yulian_FirstDay.eng.mtf;Yulian_Ghosts.eng.mtf;Yulian_HackerTrial1.eng.mtf;Yulian_InvestigateMayor.eng.mtf;Yulian_YouAreMemberNow.eng.mtf,I'm in a bit of a hurry | I'm looking for you! | I sell soda and I'm wondering if you'd like to buy a can?
