term,lang,count,files,examples
du,sv,532,Elsa_AfterStalking.eng.mtf;Elsa_Arrival.eng.mtf;Elsa_SayHiToHer.eng.mtf;Emma_AfterPyjamas.eng.mtf;Emma_Arrival.eng.mtf;Emma_CanSellSoda.eng.mtf;Emma_PyjamasParty.eng.mtf;Felix_AfterGhostVisit.eng.mtf;Felix_AfterPyjamas.eng.mtf;Felix_AfterStalking.eng.mtf;Felix_Arrival.eng.mtf;Felix_CakeParty.eng.mtf;Felix_CasinoHeist.eng.mtf;Felix_CrazyParty.eng.mtf;Felix_DidYouSteaTheFiles.eng.mtf;Felix_DiscoBall.eng.mtf;Felix_HelmetDay.eng.mtf;Felix_OLD_GotHackdev.eng.mtf;Felix_PyjamasParty.eng.mtf;Felix_TryFindLodge.eng.mtf;Felix_YouAreMemberNow.eng.mtf;Fib_AfterStalking.eng.mtf;Fib_Arrival.eng.mtf;Fib_CanSellSoda.eng.mtf;FoundServerBasement.eng.mtf;Frank_AfterGhostVisit.eng.mtf;Frank_Arrival.eng.mtf;Frank_CasinoHeist.eng.mtf;Frank_DidYouStealTheFiles.eng.mtf;Frank_FactoryMission.eng.mtf;Frank_HackerTrial1.eng.mtf;George_Arrival.eng.mtf;George_CasinoNightIsOver.eng.mtf;George_GamblingTonight.eng.mtf;George_HookOnLongson.eng.mtf;George_InvestigateMayor.eng.mtf;GetInvitedToBarYvonne.eng.mtf;GetInvitedToYouShouldTryToo.eng.mtf;GetToKnowDorian.eng.mtf;GetToKnowFib.eng.mtf;GetToKnowHankSnippet.eng.mtf;Glenn_Arrival.eng.mtf;GottaGoHomeFromDot.eng.mtf;GottaGoToWork.eng.mtf;Gunnar_Arrival.eng.mtf;Gunnar_CanSellSoda.eng.mtf;Gunnar_FirstDay.eng.mtf;Gunnar_Intrude.eng.mtf;Gunnar_LookForModifier.eng.mtf;Hank_AfterGhostVisit.eng.mtf;Hank_AfterStalking.eng.mtf;Hank_CanSellSoda.eng.mtf;Hank_DoorFixed.eng.mtf;Hank_FirstDay.eng.mtf;Hank_FirstLecture.eng.mtf;Hank_FixTheDoor.eng.mtf;Hank_OldStuffAboutHackingDevice.eng.mtf;Hank_SecondLecture.eng.mtf;Hank_TryFindLodge.eng.mtf;Harry_Arrival.eng.mtf;Harry_CanSellSoda.eng.mtf;Harry_TryFindLodge.eng.mtf,"Vad jobbar du på? | Kan du programmera? | Eh, vad sa du att du gjorde sa du?"
OK,en,336,Elsa_AfterStalking.eng.mtf;Elsa_Arrival.eng.mtf;Emma_AfterPyjamas.eng.mtf;Emma_Arrival.eng.mtf;Emma_PyjamasParty.eng.mtf;Felix_AfterGhostVisit.eng.mtf;Felix_AfterPyjamas.eng.mtf;Felix_AfterStalking.eng.mtf;Felix_Arrival.eng.mtf;Felix_CakeParty.eng.mtf;Felix_CasinoHeist.eng.mtf;Felix_CrazyParty.eng.mtf;Felix_DidYouSteaTheFiles.eng.mtf;Felix_DiscoBall.eng.mtf;Felix_OLD_GotHackdev.eng.mtf;Felix_PyjamasParty.eng.mtf;Felix_Trial1.eng.mtf;Felix_TryFindLodge.eng.mtf;Fib_AfterStalking.eng.mtf;Fib_Arrival.eng.mtf;Fib_CanSellSoda.eng.mtf;Fib_YouAreMemberNow.eng.mtf;FoundServerBasement.eng.mtf;Frank_AfterGhostVisit.eng.mtf;Frank_Arrival.eng.mtf;Frank_CasinoHeist.eng.mtf;Frank_DidYouStealTheFiles.eng.mtf;Frank_HackerTrial1.eng.mtf;George_GamblingTonight.eng.mtf;George_InvestigateMayor.eng.mtf;GetInvitedToBarYvonne.eng.mtf;GetInvitedToYouShouldTryToo.eng.mtf;GetToKnowDorian.eng.mtf;GetToKnowFib.eng.mtf;GetToKnowHankSnippet.eng.mtf;Glenn_Arrival.eng.mtf;GottaGoToWork.eng.mtf;Gunnar_CanSellSoda.eng.mtf;Gunnar_FirstDay.eng.mtf;Gunnar_LookForModifier.eng.mtf;Hank_AfterGhostVisit.eng.mtf;Hank_AfterStalking.eng.mtf;Hank_Arrival.eng.mtf;Hank_CanSellSoda.eng.mtf;Hank_FirstDay.eng.mtf;Hank_FirstLecture.eng.mtf;Hank_OldStuffAboutHackingDevice.eng.mtf;Hank_SecondLecture.eng.mtf;Hank_TryFindLodge.eng.mtf;Harry_Arrival.eng.mtf;Harry_CanSellSoda.eng.mtf;Harry_TryFindLodge.eng.mtf,"OK... how would you know to begin with? | OK | OK, I'm trying to build a metacircular evaluator"
Jag,sv,322,Elsa_AfterStalking.eng.mtf;Elsa_Arrival.eng.mtf;Elsa_SayHiToHer.eng.mtf;Emma_CanSellSoda.eng.mtf;Emma_PyjamasParty.eng.mtf;Felix_AfterGhostVisit.eng.mtf;Felix_AfterPyjamas.eng.mtf;Felix_AfterStalking.eng.mtf;Felix_Arrival.eng.mtf;Felix_CakeParty.eng.mtf;Felix_CasinoHeist.eng.mtf;Felix_CrazyParty.eng.mtf;Felix_DidYouSteaTheFiles.eng.mtf;Felix_DiscoBall.eng.mtf;Felix_HelmetDay.eng.mtf;Felix_OLD_GotHackdev.eng.mtf;Felix_PyjamasParty.eng.mtf;Felix_Trial1.eng.mtf;Felix_TryFindLodge.eng.mtf;Felix_YouAreMemberNow.eng.mtf;Fib_AfterStalking.eng.mtf;Fib_Arrival.eng.mtf;Fib_YouAreMemberNow.eng.mtf;FoundServerBasement.eng.mtf;Frank_AfterGhostVisit.eng.mtf;Frank_Arrival.eng.mtf;Frank_CasinoHeist.eng.mtf;Frank_DidYouStealTheFiles.eng.mtf;Frank_FactoryMission.eng.mtf;Frank_HackerTrial1.eng.mtf;George_CasinoNightIsOver.eng.mtf;George_GamblingTonight.eng.mtf;George_HookOnLongson.eng.mtf;George_InvestigateMayor.eng.mtf;GetInvitedToBarYvonne.eng.mtf;GetInvitedToYouShouldTryToo.eng.mtf;GetToKnowDorian.eng.mtf;GetToKnowFib.eng.mtf;GetToKnowHankSnippet.eng.mtf;Glenn_Arrival.eng.mtf;GoWithPixieToBar.eng.mtf;GottaGoHomeFromDot.eng.mtf;GottaGoToWork.eng.mtf;Gunnar_Arrival.eng.mtf;Gunnar_CanSellSoda.eng.mtf;Gunnar_FirstDay.eng.mtf;Gunnar_Intrude.eng.mtf;Gunnar_LookForModifier.eng.mtf;Hank_AfterGhostVisit.eng.mtf;Hank_AfterStalking.eng.mtf;Hank_Arrival.eng.mtf;Hank_CanSellSoda.eng.mtf;Hank_FirstDay.eng.mtf;Hank_FirstLecture.eng.mtf;Hank_OldStuffAboutHackingDevice.eng.mtf;Hank_SecondLecture.eng.mtf;Hank_TryFindLodge.eng.mtf;Harry_Arrival.eng.mtf;Harry_CanSellSoda.eng.mtf;Harry_TryFindLodge.eng.mtf,Jag vet inte riktigt vad det ska vara till för | Jag utforskar några idéer som jag haft länge | Jag håller på och lär mig
Ja,sv,309,Elsa_AfterStalking.eng.mtf;Elsa_Arrival.eng.mtf;Elsa_SayHiToHer.eng.mtf;Emma_AfterPyjamas.eng.mtf;Emma_Arrival.eng.mtf;Emma_CanSellSoda.eng.mtf;Emma_PyjamasParty.eng.mtf;Felix_AfterGhostVisit.eng.mtf;Felix_AfterPyjamas.eng.mtf;Felix_AfterStalking.eng.mtf;Felix_Arrival.eng.mtf;Felix_CakeParty.eng.mtf;Felix_CasinoHeist.eng.mtf;Felix_CrazyParty.eng.mtf;Felix_DidYouSteaTheFiles.eng.mtf;Felix_DiscoBall.eng.mtf;Felix_OLD_GotHackdev.eng.mtf;Felix_PyjamasParty.eng.mtf;Felix_Trial1.eng.mtf;Felix_TryFindLodge.eng.mtf;Felix_YouAreMemberNow.eng.mtf;Fib_AfterStalking.eng.mtf;Fib_Arrival.eng.mtf;Fib_CanSellSoda.eng.mtf;Fib_YouAreMemberNow.eng.mtf;FoundServerBasement.eng.mtf;Frank_AfterGhostVisit.eng.mtf;Frank_CasinoHeist.eng.mtf;Frank_ClubDotGig1.eng.mtf;Frank_DidYouStealTheFiles.eng.mtf;Frank_HackerTrial1.eng.mtf;Frank_YouAreMemberNow.eng.mtf;George_GamblingTonight.eng.mtf;George_InvestigateMayor.eng.mtf;GetInvitedToBarYvonne.eng.mtf;GetInvitedToYouShouldTryToo.eng.mtf;GetToKnowDorian.eng.mtf;GetToKnowFib.eng.mtf;GetToKnowHankSnippet.eng.mtf;Glenn_Arrival.eng.mtf;GottaGoHomeFromDot.eng.mtf;GottaGoToWork.eng.mtf;Gunnar_CanSellSoda.eng.mtf;Gunnar_FirstDay.eng.mtf;Gunnar_Intrude.eng.mtf;Gunnar_LookForModifier.eng.mtf;Hank_AfterGhostVisit.eng.mtf;Hank_AfterStalking.eng.mtf;Hank_CanSellSoda.eng.mtf;Hank_DoorFixed.eng.mtf;Hank_FirstDay.eng.mtf;Hank_FirstLecture.eng.mtf;Hank_OldStuffAboutHackingDevice.eng.mtf;Hank_SecondLecture.eng.mtf;Hank_TryFindLodge.eng.mtf;Harry_Arrival.eng.mtf;Harry_CanSellSoda.eng.mtf;Harry_TryFindLodge.eng.mtf,"Ja, vad gäller saken? | Ja, jag är ganska bra faktiskt | Ja det är rätt sjukt"
Det,sv,219,Elsa_AfterStalking.eng.mtf;Elsa_Arrival.eng.mtf;Elsa_SayHiToHer.eng.mtf;Emma_CanSellSoda.eng.mtf;Felix_AfterGhostVisit.eng.mtf;Felix_AfterPyjamas.eng.mtf;Felix_AfterStalking.eng.mtf;Felix_Arrival.eng.mtf;Felix_CasinoHeist.eng.mtf;Felix_DiscoBall.eng.mtf;Felix_OLD_GotHackdev.eng.mtf;Felix_PyjamasParty.eng.mtf;Felix_Trial1.eng.mtf;Felix_TryFindLodge.eng.mtf;Felix_YouAreMemberNow.eng.mtf;Fib_AfterStalking.eng.mtf;Fib_Arrival.eng.mtf;Fib_CanSellSoda.eng.mtf;Fib_YouAreMemberNow.eng.mtf;FoundServerBasement.eng.mtf;Frank_AfterGhostVisit.eng.mtf;Frank_CasinoHeist.eng.mtf;Frank_DidYouStealTheFiles.eng.mtf;Frank_FactoryMission.eng.mtf;Frank_HackerTrial1.eng.mtf;George_GamblingTonight.eng.mtf;George_InvestigateMayor.eng.mtf;GetInvitedToBarYvonne.eng.mtf;GetInvitedToYouShouldTryToo.eng.mtf;GetToKnowDorian.eng.mtf;GetToKnowFib.eng.mtf;Glenn_Arrival.eng.mtf;GoWithPixieToBar.eng.mtf;Gunnar_Arrival.eng.mtf;Gunnar_CanSellSoda.eng.mtf;Gunnar_FirstDay.eng.mtf;Gunnar_LookForModifier.eng.mtf;Hank_AfterGhostVisit.eng.mtf;Hank_AfterStalking.eng.mtf;Hank_CanSellSoda.eng.mtf;Hank_FirstDay.eng.mtf;Hank_FirstLecture.eng.mtf;Hank_SecondLecture.eng.mtf;Hank_TryFindLodge.eng.mtf;Harry_Arrival.eng.mtf;Harry_CanSellSoda.eng.mtf;Harry_TryFindLodge.eng.mtf,Det här är ett konstigt program | Det måste väl ha varit ungefär 10 år sen..? Eller... | Det låter ju helt orimligt det här
så,sv,215,Elsa_AfterStalking.eng.mtf;Elsa_Arrival.eng.mtf;Elsa_SayHiToHer.eng.mtf;Emma_PyjamasParty.eng.mtf;Felix_AfterGhostVisit.eng.mtf;Felix_AfterPyjamas.eng.mtf;Felix_AfterStalking.eng.mtf;Felix_Arrival.eng.mtf;Felix_CasinoHeist.eng.mtf;Felix_DidYouSteaTheFiles.eng.mtf;Felix_DiscoBall.eng.mtf;Felix_HelmetDay.eng.mtf;Felix_OLD_GotHackdev.eng.mtf;Felix_PyjamasParty.eng.mtf;Felix_Trial1.eng.mtf;Felix_TryFindLodge.eng.mtf;Felix_YouAreMemberNow.eng.mtf;Fib_AfterStalking.eng.mtf;Fib_Arrival.eng.mtf;Fib_CanSellSoda.eng.mtf;Fib_YouAreMemberNow.eng.mtf;FoundServerBasement.eng.mtf;Frank_AfterGhostVisit.eng.mtf;Frank_CasinoHeist.eng.mtf;Frank_DidYouStealTheFiles.eng.mtf;Frank_HackerTrial1.eng.mtf;George_GamblingTonight.eng.mtf;George_InvestigateMayor.eng.mtf;GetInvitedToBarYvonne.eng.mtf;GetInvitedToYouShouldTryToo.eng.mtf;GetToKnowDorian.eng.mtf;GetToKnowHankSnippet.eng.mtf;GottaGoHomeFromDot.eng.mtf;Gunnar_Arrival.eng.mtf;Gunnar_CanSellSoda.eng.mtf;Gunnar_FirstDay.eng.mtf;Gunnar_LookForModifier.eng.mtf;Hank_AfterGhostVisit.eng.mtf;Hank_AfterStalking.eng.mtf;Hank_Arrival.eng.mtf;Hank_CanSellSoda.eng.mtf;Hank_DoorFixed.eng.mtf;Hank_FirstDay.eng.mtf;Hank_FirstLecture.eng.mtf;Hank_FixTheDoor.eng.mtf;Hank_SecondLecture.eng.mtf;Hank_TryFindLodge.eng.mtf;Harry_Arrival.eng.mtf;Harry_CanSellSoda.eng.mtf;Harry_TryFindLodge.eng.mtf,"Med så få primitiver som möjligt, jag är nere på tre just nu! | Jag minns inte så noga, brydde mig inte om nyheter och politik på den tiden | Ja men modifieraren och så, är det bra att de uppfann den?"
har,sv,202,Elsa_AfterStalking.eng.mtf;Elsa_Arrival.eng.mtf;Elsa_SayHiToHer.eng.mtf;Emma_Arrival.eng.mtf;Emma_CanSellSoda.eng.mtf;Emma_PyjamasParty.eng.mtf;Felix_AfterGhostVisit.eng.mtf;Felix_AfterPyjamas.eng.mtf;Felix_AfterStalking.eng.mtf;Felix_Arrival.eng.mtf;Felix_CasinoHeist.eng.mtf;Felix_CrazyParty.eng.mtf;Felix_DiscoBall.eng.mtf;Felix_HelmetDay.eng.mtf;Felix_OLD_GotHackdev.eng.mtf;Felix_PyjamasParty.eng.mtf;Felix_Trial1.eng.mtf;Felix_TryFindLodge.eng.mtf;Fib_AfterStalking.eng.mtf;Fib_Arrival.eng.mtf;Fib_CanSellSoda.eng.mtf;Fib_YouAreMemberNow.eng.mtf;Frank_AfterGhostVisit.eng.mtf;Frank_CasinoHeist.eng.mtf;Frank_ClubDotGig1.eng.mtf;Frank_DidYouStealTheFiles.eng.mtf;Frank_HackerTrial1.eng.mtf;George_CasinoNightIsOver.eng.mtf;George_GamblingTonight.eng.mtf;George_HookOnLongson.eng.mtf;GetInvitedToBarYvonne.eng.mtf;GetToKnowDorian.eng.mtf;GetToKnowHankSnippet.eng.mtf;GoWithPixieToBar.eng.mtf;GottaGoToWork.eng.mtf;Gunnar_Arrival.eng.mtf;Gunnar_CanSellSoda.eng.mtf;Gunnar_FirstDay.eng.mtf;Gunnar_LookForModifier.eng.mtf;Hank_AfterGhostVisit.eng.mtf;Hank_AfterStalking.eng.mtf;Hank_CanSellSoda.eng.mtf;Hank_FirstDay.eng.mtf;Hank_FirstLecture.eng.mtf;Hank_OldStuffAboutHackingDevice.eng.mtf;Hank_SecondLecture.eng.mtf;Hank_TryFindLodge.eng.mtf;Harry_TryFindLodge.eng.mtf,"Eh... jag har inte min här just nu tror jag | De har gett sig själva mycket makt, det är ett som är säkert | Eh, nej det namnet har jag aldrig hört förut"
OK,sv,179,Elsa_AfterStalking.eng.mtf;Emma_AfterPyjamas.eng.mtf;Emma_Arrival.eng.mtf;Emma_CanSellSoda.eng.mtf;Emma_PyjamasParty.eng.mtf;Felix_AfterGhostVisit.eng.mtf;Felix_AfterPyjamas.eng.mtf;Felix_AfterStalking.eng.mtf;Felix_Arrival.eng.mtf;Felix_CakeParty.eng.mtf;Felix_CasinoHeist.eng.mtf;Felix_CrazyParty.eng.mtf;Felix_DidYouSteaTheFiles.eng.mtf;Felix_DiscoBall.eng.mtf;Felix_OLD_GotHackdev.eng.mtf;Felix_PyjamasParty.eng.mtf;Felix_Trial1.eng.mtf;Felix_TryFindLodge.eng.mtf;Fib_AfterStalking.eng.mtf;Fib_Arrival.eng.mtf;Fib_YouAreMemberNow.eng.mtf;FoundServerBasement.eng.mtf;Frank_AfterGhostVisit.eng.mtf;Frank_CasinoHeist.eng.mtf;Frank_DidYouStealTheFiles.eng.mtf;Frank_HackerTrial1.eng.mtf;George_GamblingTonight.eng.mtf;GetInvitedToBarYvonne.eng.mtf;GetInvitedToYouShouldTryToo.eng.mtf;GetToKnowDorian.eng.mtf;GottaGoToWork.eng.mtf;Gunnar_CanSellSoda.eng.mtf;Gunnar_FirstDay.eng.mtf;Gunnar_LookForModifier.eng.mtf;Hank_AfterGhostVisit.eng.mtf;Hank_AfterStalking.eng.mtf;Hank_Arrival.eng.mtf;Hank_CanSellSoda.eng.mtf;Hank_FirstDay.eng.mtf;Hank_FirstLecture.eng.mtf;Hank_OldStuffAboutHackingDevice.eng.mtf;Hank_SecondLecture.eng.mtf;Harry_Arrival.eng.mtf;Harry_CanSellSoda.eng.mtf;Harry_TryFindLodge.eng.mtf,"OK? | OK | OK, säg till om du hör nåt om den"
I'm,en,178,Elsa_AfterStalking.eng.mtf;Elsa_Arrival.eng.mtf;Emma_Arrival.eng.mtf;Emma_CanSellSoda.eng.mtf;Emma_PyjamasParty.eng.mtf;Felix_AfterGhostVisit.eng.mtf;Felix_AfterPyjamas.eng.mtf;Felix_AfterStalking.eng.mtf;Felix_Arrival.eng.mtf;Felix_CasinoHeist.eng.mtf;Felix_DiscoBall.eng.mtf;Felix_OLD_GotHackdev.eng.mtf;Felix_PyjamasParty.eng.mtf;Felix_Trial1.eng.mtf;Felix_TryFindLodge.eng.mtf;Fib_AfterStalking.eng.mtf;Fib_Arrival.eng.mtf;Fib_CanSellSoda.eng.mtf;Fib_YouAreMemberNow.eng.mtf;Frank_AfterGhostVisit.eng.mtf;Frank_Arrival.eng.mtf;Frank_CasinoHeist.eng.mtf;Frank_DidYouStealTheFiles.eng.mtf;Frank_FactoryMission.eng.mtf;Frank_GotIntoFactory.eng.mtf;Frank_HackerTrial1.eng.mtf;George_GamblingTonight.eng.mtf;George_InvestigateMayor.eng.mtf;GetInvitedToBarYvonne.eng.mtf;GetInvitedToYouShouldTryToo.eng.mtf;GetToKnowDorian.eng.mtf;GetToKnowFib.eng.mtf;GetToKnowHankSnippet.eng.mtf;Glenn_Arrival.eng.mtf;GottaGoHomeFromDot.eng.mtf;Gunnar_CanSellSoda.eng.mtf;Gunnar_FirstDay.eng.mtf;Gunnar_Intrude.eng.mtf;Gunnar_LookForModifier.eng.mtf;Hank_AfterGhostVisit.eng.mtf;Hank_AfterStalking.eng.mtf;Hank_CanSellSoda.eng.mtf;Hank_FirstDay.eng.mtf;Hank_FirstLecture.eng.mtf;Hank_OldStuffAboutHackingDevice.eng.mtf;Hank_SecondLecture.eng.mtf;Hank_TryFindLodge.eng.mtf;Harry_Arrival.eng.mtf;Harry_CanSellSoda.eng.mtf;Harry_TryFindLodge.eng.mtf,I'm not really sure what it's for | I'm exploring some ideas I've had for a while | I'm trying to learn
kan,sv,176,Elsa_AfterStalking.eng.mtf;Elsa_Arrival.eng.mtf;Elsa_SayHiToHer.eng.mtf;Emma_Arrival.eng.mtf;Emma_CanSellSoda.eng.mtf;Emma_PyjamasParty.eng.mtf;Felix_AfterGhostVisit.eng.mtf;Felix_AfterPyjamas.eng.mtf;Felix_AfterStalking.eng.mtf;Felix_Arrival.eng.mtf;Felix_CakeParty.eng.mtf;Felix_DiscoBall.eng.mtf;Felix_OLD_GotHackdev.eng.mtf;Felix_PyjamasParty.eng.mtf;Felix_TryFindLodge.eng.mtf;Fib_AfterStalking.eng.mtf;Fib_Arrival.eng.mtf;Fib_YouAreMemberNow.eng.mtf;FoundServerBasement.eng.mtf;Frank_AfterGhostVisit.eng.mtf;Frank_Arrival.eng.mtf;Frank_CasinoHeist.eng.mtf;Frank_HackerTrial1.eng.mtf;George_InvestigateMayor.eng.mtf;GetInvitedToBarYvonne.eng.mtf;GetInvitedToYouShouldTryToo.eng.mtf;GetToKnowDorian.eng.mtf;GetToKnowFib.eng.mtf;GiveEvenMoreFiles.eng.mtf;GottaGoToWork.eng.mtf;Gunnar_Arrival.eng.mtf;Gunnar_CanSellSoda.eng.mtf;Gunnar_LookForModifier.eng.mtf;Hank_AfterGhostVisit.eng.mtf;Hank_AfterStalking.eng.mtf;Hank_CanSellSoda.eng.mtf;Hank_DoorFixed.eng.mtf;Hank_FirstDay.eng.mtf;Hank_FirstLecture.eng.mtf;Hank_FixTheDoor.eng.mtf;Hank_OldStuffAboutHackingDevice.eng.mtf;Hank_SecondLecture.eng.mtf;Hank_TryFindLodge.eng.mtf;Harry_Arrival.eng.mtf;Harry_CanSellSoda.eng.mtf;Harry_TryFindLodge.eng.mtf,Ok... hur kan man ens göra det? | Var tusan kan jag ha lagt den då? | Vad kan man göra med den?
